"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	6231	15429919	40.4
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	1015	15429919	6.6
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	683	15429919	4.4
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	144	15429919	0.9
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	12846	14505310	88.6
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	3941	14505310	27.2
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	3297	14505310	22.7
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	262	14505310	1.8
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	57	14505310	0.4
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	1061	2096779	50.6
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	253	2096779	12.1
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	119	2096779	5.7
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	86	2096779	4.1
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	0	2096779	Unreliable
	"Alaska"	"02"	"Male"	"M"	"Unintentional"	"1"	2072	2303024	90.0
	"Alaska"	"02"	"Male"	"M"	"Suicide"	"2"	971	2303024	42.2
	"Alaska"	"02"	"Male"	"M"	"Homicide"	"3"	256	2303024	11.1
	"Alaska"	"02"	"Male"	"M"	"Undetermined "	"4"	116	2303024	5.0
	"Alaska"	"02"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	20	2303024	0.9
	"Arizona"	"04"	"Female"	"F"	"Unintentional"	"1"	10275	22049582	46.6
	"Arizona"	"04"	"Female"	"F"	"Suicide"	"2"	1808	22049582	8.2
	"Arizona"	"04"	"Female"	"F"	"Homicide"	"3"	627	22049582	2.8
	"Arizona"	"04"	"Female"	"F"	"Undetermined "	"4"	355	22049582	1.6
	"Arizona"	"04"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	22049582	Suppressed
	"Arizona"	"04"	"Male"	"M"	"Unintentional"	"1"	21927	21889039	100.2
	"Arizona"	"04"	"Male"	"M"	"Suicide"	"2"	6996	21889039	32.0
	"Arizona"	"04"	"Male"	"M"	"Homicide"	"3"	2454	21889039	11.2
	"Arizona"	"04"	"Male"	"M"	"Undetermined "	"4"	628	21889039	2.9
	"Arizona"	"04"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	159	21889039	0.7
	"Arkansas"	"05"	"Female"	"F"	"Unintentional"	"1"	3808	9240304	41.2
	"Arkansas"	"05"	"Female"	"F"	"Suicide"	"2"	671	9240304	7.3
	"Arkansas"	"05"	"Female"	"F"	"Homicide"	"3"	423	9240304	4.6
	"Arkansas"	"05"	"Female"	"F"	"Undetermined "	"4"	175	9240304	1.9
	"Arkansas"	"05"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	9240304	Suppressed
	"Arkansas"	"05"	"Male"	"M"	"Unintentional"	"1"	7124	8961107	79.5
	"Arkansas"	"05"	"Male"	"M"	"Suicide"	"2"	2805	8961107	31.3
	"Arkansas"	"05"	"Male"	"M"	"Homicide"	"3"	1487	8961107	16.6
	"Arkansas"	"05"	"Male"	"M"	"Undetermined "	"4"	221	8961107	2.5
	"Arkansas"	"05"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	66	8961107	0.7
	"California"	"06"	"Female"	"F"	"Unintentional"	"1"	31629	118185938	26.8
	"California"	"06"	"Female"	"F"	"Suicide"	"2"	5631	118185938	4.8
	"California"	"06"	"Female"	"F"	"Homicide"	"3"	2130	118185938	1.8
	"California"	"06"	"Female"	"F"	"Undetermined "	"4"	521	118185938	0.4
	"California"	"06"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	37	118185938	0.0
	"California"	"06"	"Male"	"M"	"Unintentional"	"1"	79256	117483779	67.5
	"California"	"06"	"Male"	"M"	"Suicide"	"2"	20100	117483779	17.1
	"California"	"06"	"Male"	"M"	"Homicide"	"3"	10693	117483779	9.1
	"California"	"06"	"Male"	"M"	"Undetermined "	"4"	996	117483779	0.8
	"California"	"06"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	531	117483779	0.5
	"Colorado"	"08"	"Female"	"F"	"Unintentional"	"1"	7979	17211120	46.4
	"Colorado"	"08"	"Female"	"F"	"Suicide"	"2"	1782	17211120	10.4
	"Colorado"	"08"	"Female"	"F"	"Homicide"	"3"	466	17211120	2.7
	"Colorado"	"08"	"Female"	"F"	"Undetermined "	"4"	129	17211120	0.7
	"Colorado"	"08"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	11	17211120	Unreliable
	"Colorado"	"08"	"Male"	"M"	"Unintentional"	"1"	14459	17580504	82.2
	"Colorado"	"08"	"Male"	"M"	"Suicide"	"2"	6088	17580504	34.6
	"Colorado"	"08"	"Male"	"M"	"Homicide"	"3"	1536	17580504	8.7
	"Colorado"	"08"	"Male"	"M"	"Undetermined "	"4"	260	17580504	1.5
