"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	20	15429919	0.1
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	578	15429919	3.7
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	520	15429919	3.4
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	15	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Non-Injury, no intent classified"	"9"	0	15429919	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	121	14505310	0.8
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	2914	14505310	20.1
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	2905	14505310	20.0
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	55	14505310	0.4
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	37	14505310	0.3
	"Alabama"	"01"	"Male"	"M"	"Non-Injury, no intent classified"	"9"	0	14505310	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	104	2096779	5.0
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	66	2096779	3.1
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Non-Injury, no intent classified"	"9"	0	2096779	Unreliable
	"Alaska"	"02"	"Male"	"M"	"Unintentional"	"1"	14	2303024	Unreliable
	"Alaska"	"02"	"Male"	"M"	"Suicide"	"2"	629	2303024	27.3
	"Alaska"	"02"	"Male"	"M"	"Homicide"	"3"	168	2303024	7.3
	"Alaska"	"02"	"Male"	"M"	"Undetermined "	"4"	23	2303024	1.0
	"Alaska"	"02"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	19	2303024	Unreliable
	"Alaska"	"02"	"Male"	"M"	"Non-Injury, no intent classified"	"9"	0	2303024	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Unintentional"	"1"	11	22049582	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Suicide"	"2"	688	22049582	3.1
	"Arizona"	"04"	"Female"	"F"	"Homicide"	"3"	410	22049582	1.9
	"Arizona"	"04"	"Female"	"F"	"Undetermined "	"4"	23	22049582	0.1
	"Arizona"	"04"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	22049582	Suppressed
	"Arizona"	"04"	"Female"	"F"	"Non-Injury, no intent classified"	"9"	0	22049582	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Unintentional"	"1"	46	21889039	0.2
	"Arizona"	"04"	"Male"	"M"	"Suicide"	"2"	4565	21889039	20.9
	"Arizona"	"04"	"Male"	"M"	"Homicide"	"3"	1880	21889039	8.6
	"Arizona"	"04"	"Male"	"M"	"Undetermined "	"4"	86	21889039	0.4
	"Arizona"	"04"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	151	21889039	0.7
	"Arizona"	"04"	"Male"	"M"	"Non-Injury, no intent classified"	"9"	0	21889039	Unreliable
	"Arkansas"	"05"	"Female"	"F"	"Unintentional"	"1"	Suppressed	9240304	Suppressed
	"Arkansas"	"05"	"Female"	"F"	"Suicide"	"2"	329	9240304	3.6
	"Arkansas"	"05"	"Female"	"F"	"Homicide"	"3"	279	9240304	3.0
	"Arkansas"	"05"	"Female"	"F"	"Undetermined "	"4"	11	9240304	Unreliable
	"Arkansas"	"05"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	9240304	Suppressed
	"Arkansas"	"05"	"Female"	"F"	"Non-Injury, no intent classified"	"9"	0	9240304	Unreliable
	"Arkansas"	"05"	"Male"	"M"	"Unintentional"	"1"	59	8961107	0.7
	"Arkansas"	"05"	"Male"	"M"	"Suicide"	"2"	1847	8961107	20.6
	"Arkansas"	"05"	"Male"	"M"	"Homicide"	"3"	1241	8961107	13.8
	"Arkansas"	"05"	"Male"	"M"	"Undetermined "	"4"	42	8961107	0.5
	"Arkansas"	"05"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	44	8961107	0.5
	"Arkansas"	"05"	"Male"	"M"	"Non-Injury, no intent classified"	"9"	0	8961107	Unreliable
	"California"	"06"	"Female"	"F"	"Unintentional"	"1"	14	118185938	Unreliable
