"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Injury Intent"	"Injury Intent Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Cut/Pierce"	"GRINJ-001"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Drowning"	"GRINJ-002"	102	15429919	0.7
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Fall"	"GRINJ-003"	763	15429919	4.9
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Fire/Flame"	"GRINJ-004"	220	15429919	1.4
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Hot object/Substance"	"GRINJ-005"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Firearm"	"GRINJ-006"	20	15429919	0.1
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Machinery"	"GRINJ-007"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Motor Vehicle Traffic"	"GRINJ-008"	1763	15429919	11.4
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Other Pedal cyclist"	"GRINJ-009"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Other Pedestrian"	"GRINJ-010"	33	15429919	0.2
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Other land transport"	"GRINJ-011"	23	15429919	0.1
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Other transport"	"GRINJ-012"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Natural/Environmental"	"GRINJ-013"	93	15429919	0.6
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Overexertion"	"GRINJ-014"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Poisoning"	"GRINJ-015"	2231	15429919	14.5
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Struck by or against"	"GRINJ-016"	12	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Suffocation"	"GRINJ-017"	282	15429919	1.8
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Other specified, classifiable Injury"	"GRINJ-018"	11	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	32	15429919	0.2
	"Alabama"	"01"	"Female"	"F"	"Unintentional"	"1"	"Unspecified Injury"	"GRINJ-020"	626	15429919	4.1
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Fall"	"GRINJ-003"	12	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Hot object/Substance"	"GRINJ-005"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	578	15429919	3.7
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	Suppressed	15429919	Suppressed
