State,Label.x,Label.y,Color
Alabama,0,0,dark.color
Alaska,0,-0.1,light.color
Arizona,0,0,dark.color
Arkansas,0,0,dark.color
California,0,0,dark.color
Colorado,0,0,dark.color
Connecticut,0,0,dark.color
Delaware,0.008,0.11,dark.color
Florida,0,0,dark.color
Georgia,0,0,dark.color
Hawaii,0,0,dark.color
Idaho,0,0,dark.color
Illinois,0,0,dark.color
Indiana,0,0,dark.color
Iowa,-0.002,-0.05,dark.color
Kansas,0,0,dark.color
Kentucky,0,0,dark.color
Louisiana,0,0,dark.color
Maine,0,-0.2,light.color
Maryland,0,0,dark.color
Massachusetts,0,0,dark.color
Michigan,0,0.11,dark.color
Minnesota,0.02,0,light.color
Mississippi,0,0,dark.color
Missouri,0.005,0.08,dark.color
Montana,0,-0.2,light.color
Nebraska,0,0,dark.color
Nevada,0,0,dark.color
New Hampshire,0,-0.2,light.color
New Jersey,0,-0.1,dark.color
New Mexico,0,0,dark.color
New York,0,0,dark.color
North Carolina,0,0.1,dark.color
North Dakota,0,-0.13,light.color
Ohio,0,0,dark.color
Oklahoma,0,0,dark.color
Oregon,0,0,dark.color
Pennsylvania,0,0,dark.color
Rhode Island,0,0,dark.color
South Carolina,0,0,dark.color
South Dakota,0,-0.13,light.color
Tennessee,0,0,dark.color
Texas,-0.01,0.11,dark.color
Utah,0,0,dark.color
Vermont,0,-0.1,light.color
Virginia,0,0,dark.color
Washington,0,0,dark.color
West Virginia,0,0,dark.color
Wisconsin,0,0,dark.color
Wyoming,0,-0.1,light.color
