"State","Gender","Injury.Intent","Deaths","Population","Rate","ST","HFR"
"Alabama","Female","Suicide",1015,15429919,6.57812915284909,"AL",0.528
"Alabama","Female","Homicide",683,15429919,4.42646523290239,"AL",0.528
"Alabama","Male","Suicide",3941,14505310,27.1693607375506,"AL",0.528
"Alabama","Male","Homicide",3297,14505310,22.7296072955352,"AL",0.528
"Alaska","Female","Suicide",253,2096779,12.06612618688,"AK",0.572
"Alaska","Female","Homicide",119,2096779,5.67537160568663,"AK",0.572
"Alaska","Male","Suicide",971,2303024,42.1619574958837,"AK",0.572
"Alaska","Male","Homicide",256,2303024,11.1158198959281,"AK",0.572
"Arizona","Male","Suicide",6996,21889039,31.961202134091,"AZ",0.36
"Arizona","Female","Suicide",1808,22049582,8.19970192632223,"AZ",0.36
"Arizona","Female","Homicide",627,22049582,2.84359132068807,"AZ",0.36
"Arizona","Male","Homicide",2454,21889039,11.2110906285105,"AZ",0.36
"Arkansas","Female","Suicide",671,9240304,7.26166584995472,"AR",0.518
"Arkansas","Female","Homicide",423,9240304,4.57777146725909,"AR",0.518
"Arkansas","Male","Suicide",2805,8961107,31.3019362451536,"AR",0.518
"Arkansas","Male","Homicide",1487,8961107,16.5939319773773,"AR",0.518
"California","Female","Suicide",5631,118185938,4.76452621630841,"CA",0.163
"California","Female","Homicide",2130,118185938,1.80224486605166,"CA",0.163
"California","Male","Suicide",20100,117483779,17.108744859152,"CA",0.163
"California","Male","Homicide",10693,117483779,9.10168202880161,"CA",0.163
"Colorado","Male","Homicide",1536,17580504,8.73695088604968,"CO",0.379
"Colorado","Female","Suicide",1782,17211120,10.3537712827521,"CO",0.379
"Colorado","Female","Homicide",466,17211120,2.70755186181957,"CO",0.379
"Colorado","Male","Suicide",6088,17580504,34.6292688764782,"CO",0.379
"Connecticut","Female","Suicide",574,11006425,5.21513570482695,"CT",0.188
"Connecticut","Female","Homicide",170,11006425,1.54455238644701,"CT",0.188
"Connecticut","Male","Suicide",1799,10537511,17.0723427951819,"CT",0.188
"Connecticut","Male","Homicide",640,10537511,6.07354051635154,"CT",0.188
"Delaware","Female","Suicide",146,3084950,4.73265368968703,"DE",0.387
"Delaware","Female","Homicide",86,3084950,2.78772751584304,"DE",0.387
"Delaware","Male","Suicide",613,2896464,21.1637361969629,"DE",0.387
"Delaware","Male","Homicide",332,2896464,11.462251904391,"DE",0.387
"Florida","Female","Suicide",4653,66853446,6.96000023693618,"FL",0.288
"Florida","Female","Homicide",1816,66853446,2.71638951864949,"FL",0.288
"Florida","Male","Suicide",15931,64293605,24.7785141306044,"FL",0.288
"Florida","Male","Homicide",6665,64293605,10.3665053468381,"FL",0.288
"Georgia","Female","Suicide",1992,33135770,6.01163033181363,"GA",0.377
"Georgia","Female","Homicide",1197,33135770,3.61241039517114,"GA",0.377
"Georgia","Male","Suicide",7623,31452814,24.2363052158068,"GA",0.377
"Georgia","Male","Homicide",5035,31452814,16.0081066196494,"GA",0.377
"Hawaii","Female","Suicide",301,4267009,7.05412151696891,"HI",0.091
"Hawaii","Female","Homicide",62,4267009,1.45300841877765,"HI",0.091
"Hawaii","Male","Suicide",954,4293247,22.2209437286045,"HI",0.091
"Hawaii","Male","Homicide",182,4293247,4.23921567988052,"HI",0.091
"Idaho","Female","Suicide",508,5557525,9.14075960072154,"ID",0.578
"Idaho","Female","Homicide",72,5557525,1.29554073081093,"ID",0.578
"Idaho","Male","Suicide",1984,5615343,35.3317686916008,"ID",0.578
"Idaho","Male","Homicide",177,5615343,3.15207815444221,"ID",0.578
"Illinois","Female","Suicide",1938,38435957,5.04215362713617,"IL",0.226
"Illinois","Female","Homicide",1140,38435957,2.96597272184481,"IL",0.226
"Illinois","Male","Suicide",6905,37367664,18.4785433737576,"IL",0.226
"Illinois","Male","Homicide",6156,37367664,16.4741365689865,"IL",0.226
"Indiana","Female","Suicide",1232,20550021,5.99512769354348,"IN",0.424
"Indiana","Female","Homicide",707,20550021,3.4403857786812,"IN",0.424
"Indiana","Male","Suicide",5311,20130250,26.3831795432247,"IN",0.424
"Indiana","Male","Homicide",2552,20130250,12.6774381838278,"IN",0.424
"Iowa","Female","Suicide",578,9541634,6.05766266029487,"IA",0.385
"Iowa","Female","Homicide",148,9541634,1.5510970133627,"IA",0.385
"Iowa","Male","Suicide",2635,9533742,27.6386753490917,"IA",0.385
"Iowa","Male","Homicide",404,9533742,4.23758058483227,"IA",0.385
"Kansas","Female","Suicide",660,8776675,7.51993209273444,"KS",0.423
"Kansas","Female","Homicide",237,8776675,2.70033925148191,"KS",0.423
"Kansas","Male","Suicide",2675,8774227,30.4870161211922,"KS",0.423
